uuid,region,settlement,brand,krs_name_s,n_city,d_1,d_road,d_city,popul_dens
fc0236ed-fef0-42c4-a4f2-088741bc435f,['Sachsen'],Landkreis,Q1,['Landkreis Erzgebirgskreis'],Chemnitz,"1498","15388","32840","186"
005056ba-7cb6-1ed2-bceb-7b35c6b18d27,['Sachsen'],Landkreis,STAR,['Landkreis Erzgebirgskreis'],Chemnitz,"1046","15815","32235","186"
ae7952d3-19a9-4803-8b9d-916331a60987,['Sachsen'],Landkreis,Shell,['Görlitz'],Dresden,"0","2604","87074","122"
7e3aa242-1cbb-4d7b-917c-5960c231ac39,['Sachsen'],Landkreis,Shell,['Landkreis Erzgebirgskreis'],Chemnitz,"4263","17496","19733","186"
005056ba-7cb6-1ed2-bceb-c96ccf530d54,['Sachsen'],Landkreis,STAR,['Sächsische Schweiz-Osterzgebirge'],Dresden,"7738","24593","37030","148"
51d4b663-a095-1aa0-e100-80009459e03a,['Sachsen'],Stadtkreis,JET,['Leipzig'],Leipzig,"1488","6251","4340","2087"
2617b945-a09e-4b43-81f3-e369a3b2229a,['Sachsen'],Landkreis,ARAL,['Görlitz'],Dresden,"0","264","83558","122"
7ee38718-5f86-4e15-a859-a3b9e0862cee,['Sachsen'],Stadtkreis,Kaufland,['Dresden'],Dresden,"417","1870","7572","1726"
4f6e9a39-060b-4143-96df-8744b3116b18,['Sachsen'],Landkreis,bft,['Zwickau'],Chemnitz,"0","2229","25983","337"
7c353b75-955b-43ac-8904-b11b16378d46,['Sachsen'],Landkreis,EPT,['Bautzen'],Dresden,"5324","10026","44376","126"
5f15116e-d29a-43b3-b705-2ca0b47b9e23,['Sachsen'],Landkreis,Shell,['Leipzig'],Leipzig,"335","109","24872","2087"
1674639b-579b-49ea-8e6b-7ad8d75c38e0,['Sachsen'],Landkreis,BFT,['Mittelsachsen'],Chemnitz,"5207","6627","12433","146"
e6eb3c95-8307-45e5-83ca-c20440ef38dc,['Sachsen'],Landkreis,OIL! (Automatenstation),['Landkreis Vogtlandkreis'],Leipzig,"4901","10314","82985","163"
005056ba-7cb6-1ed2-bceb-c75ba9decd53,['Sachsen'],Landkreis,STAR,['Bautzen'],Dresden,"1334","7569","32241","126"
